[y]{s} Ⓜa1 Multi[z]	^-
Kaisar tak sengaja perjalanan waktu jadi CEO, ketemu gadis penolongnya, dia menyesal dan cintainya	https://www.youtube.com/watch?v=NEMKmoHDLEw

【Indo Dub】Mereka hina gadis ini, tak sangka ayahnya orang terkaya!	https://www.youtube.com/watch?v=oykbV-4wI9E

Film Kung Fu! Pemuda biasa menentang takdir menjadi master bela diri nomor 1 dunia!	https://www.youtube.com/watch?v=4hQDzXpGRBk

Miliarder pura-pura jadi peternak Babi miskin untuk mencoba calon Istri dan hasilnya	https://www.youtube.com/watch?v=mkSar6oMwNU

【Dubbing Indo】Gadis pakai uang sekolah bantu tuna wisma, CEO saksikan dan jatuh cinta!	https://www.youtube.com/watch?v=axqZiXdVWm8

Pria miskin didorong sungai oleh ibu mertua,tak sengaja dapat sistem memancing ajaib jadi miliarder	https://www.youtube.com/watch?v=pnWMxetBvVk

Gadis dicerai Suami karena tidak subur, tak terduga dinikahi CEO dan melahirkan anak lucu	https://www.youtube.com/watch?v=MC8UZx-TcP8

Gadis beranak dengan CEO tapi diusir, setelah bercerai dia berubah diri untuk kembali balas dendam	https://www.youtube.com/watch?v=OXqz9T6GgLM

Dibuang Keluarga & Dihina, Tak Tahu Dia Putra Hilang Orang Terkaya!Pembalasan Paling Epic!	https://www.youtube.com/watch?v=akRoqxVw774

Miliarder menyamar “Pembersih” cari Istri, tiba-tiba melihat sebocah miripnya. Siapa ibunya?	https://www.youtube.com/watch?v=L1B8r1BgvBo

【Indo Dub】Kekuatan Seluruh Dunia Turun 10.000 Kali! Justru Aku, Kuli Bangunan, Jadi Manusia Terkuat!	https://www.youtube.com/watch?v=mIqKhfpoMAE

【Indo Dub】Ortu Kandung Paksa Aku Nikah Sama Om Tua… Aku Malah Kawin Sama Miliarder!	https://www.youtube.com/watch?v=Om7keVB2kAA

【Indo Dub】Dikira Nikahi Petani Miskin, Eh Suaminya Justru Orang Terkaya Se-Kota!	https://www.youtube.com/watch?v=t2tlO2k3HCc

【Indo Dub】Penyesalan Terbesar Dalam Hidupku: Mengetahui Pria Itu Menungguku Sepanjang Hidup	https://www.youtube.com/watch?v=W46FUY5IwGA

CEO menolak makanan siapa pun, tapi jatuh cinta pada masakan gadis miskin ini! Cinta pun lahir!	https://www.youtube.com/watch?v=WoLQPaXH1qA

CEO pura-pura Miskin biar mencoba Gadis kencan buta,tak terduga jatuh cinta pada pemandangan pertama	https://www.youtube.com/watch?v=m0X1N4zdhBU

Gadis tak sengaja masuk novel jadi tokoh pendukung, suara hatinya didengar Raja tampan dan hasilnya	https://www.youtube.com/watch?v=TH7ys7Timdw

	^-
[g]YouTube Favorite Streaming[z]	^-

Makkah Live	https://www.youtube.com/watch?v=rHWSRMcGGBQ
Madinah Live	https://www.youtube.com/watch?v=rHWSRMcGGBQ
The World Live. EarthTV	https://www.youtube.com/watch?v=HfgIFGbdGJ0
Angry Birds 1	https://www.youtube.com/watch?v=vnqWVuU0sns
Angry Birds 2	https://www.youtube.com/watch?v=7QJ9ZS4QC94
Angry Birds 3	https://www.youtube.com/watch?v=fXtMKLzupEw
Angry Birds 4	https://www.youtube.com/watch?v=nxBVdeRWJjA
Bernard Bear 1	/l.7/?listType=playlist&list=PLKLzBLbyOE9sEOob_s-5lHUJgaVybxA_Y
Bernard Bear 2	/l.7/?listType=playlist&list=PLKLzBLbyOE9sqBe3id3RQIW-wD8Ixuqcu
Bernard Bear 3	/l.7/?listType=playlist&list=PLKLzBLbyOE9v87wMlANiaaI824wceKP94
Bernard Bear 4	/l.7/?listType=playlist&list=PLKLzBLbyOE9vjDW6h5BGfXaJ_NFdngOAY
Bernard Bear 5	/l.7/?listType=playlist&list=PLKLzBLbyOE9vUq8SxVXsX2W0diykafivr
Boomerang: Tom & Jerry 1	https://www.youtube.com/watch?v=rEKifG2XUZg
Boomerang: Tom & Jerry 2	https://www.youtube.com/watch?v=2UOwO_N17ms
Boomerang: Tom & Jerry 3	https://www.youtube.com/watch?v=_XeGYNTiuSM
Cartoon Network 1	https://www.youtube.com/watch?v=Zav9QFtN9Ss
Cartoon Network 2	https://www.youtube.com/watch?v=uUCTOHriQCg
Cartoonito	https://www.youtube.com/watch?v=p5l3ZS1jVUE
Masha and The Bear	https://www.youtube.com/watch?v=ajK6TflcuBc
Nicktoons	https://www.youtube.com/watch?v=5-6_PVhnZ0g
Om Nom Stories	https://www.youtube.com/watch?v=Kh0ooK7g8oo
SpongeBob 🇮🇩	https://www.youtube.com/watch?v=1Q6qVdiCA6Y
Shaun the Sheep	https://www.youtube.com/watch?v=EZsmbpdjHRc
Timmy & Friends	https://www.youtube.com/watch?v=MSXaxnnDOvY
Muse Indonesia	https://www.youtube.com/watch?v=zI6anm6WXrE
Mr. Bean Classic	https://www.youtube.com/watch?v=NOCisq9ASyM
Mr. Bean Cartoon	https://www.youtube.com/watch?v=WL3a8k-9o88
RailCowGirl	https://www.youtube.com/watch?v=czoEAKX9aaM
Japan 4K	https://www.youtube.com/watch?v=cH7VBI4QQzA
iQIYI Indonesia 1	https://www.youtube.com/watch?v=05aVrCzBlLE
iQIYI Indonesia 2	https://www.youtube.com/watch?v=tsE096w7wlY
JTBC Drama 🇰🇷 1	https://www.youtube.com/watch?v=LK3CXlk4qVo
JTBC Drama 🇰🇷 2	https://www.youtube.com/watch?v=vke9y0FE-vo
JTBC Drama 🇰🇷 3	https://www.youtube.com/watch?v=NEASZkDfyzA
JTBC Drama 🇰🇷 4	https://www.youtube.com/watch?v=XYg58WbOVtY
JTBC Drama 🇰🇷 5	https://www.youtube.com/watch?v=k56lD1GfnmY
JTBC Drama 🇰🇷 6	https://www.youtube.com/watch?v=QocpB3PIgQw
KBS World 🇰🇷	https://www.youtube.com/watch?v=OxQQsIvJTTU
YTN Live 🇰🇷	https://www.youtube.com/watch?v=FJfwehhzIhw
STV News Hokkaido 🇯🇵 1	https://www.youtube.com/watch?v=hA46WfBYdgo
STV News Hokkaido 🇯🇵 2	https://www.youtube.com/watch?v=atuUrJCgCPM
HTB Hokkaido News 24 🇯🇵	https://www.youtube.com/watch?v=7-Vky63lvek
Just for Laughs Gags 1	https://www.youtube.com/watch?v=yDDjo0Yh7A0
Just for Laughs Gags 2	https://www.youtube.com/watch?v=gAK55njYkIA
Just for Laughs Gags 3	https://www.youtube.com/watch?v=goiHgK5Z1vU
Just for Laughs Gags 4	https://www.youtube.com/watch?v=prRRorvO1Hk
Just for Laughs Gags 5	https://www.youtube.com/watch?v=AxsCAFRj7c4
Kompas 🇮🇩	https://www.youtube.com/watch?v=DOOrIxw5xOw
tvOne 🇮🇩	https://www.youtube.com/watch?v=yNKvkPJl-tg
Musica Studios	https://www.youtube.com/watch?v=ss7DWVHdU2g
Alip_Ba_Ta	/l.7/?listType=playlist&list=PLVboWDxQI2PEdSKtQzYYxm7AqOBiCPBF0
All Sidemen Charity Matches	/l.7/?listType=playlist&list=PLjQjmbVy2qeXMCBiJMR9vCknZDO4ToozC

	^-
[g]Info Update[z]	^-
Timnas Indonesia 🇮🇩	`0https://xstalk.com/profile/TimnasIndonesia
Asian Football Confederation	`0https://xstalk.com/profile/theafcdotcom
FIFA World Cup	`0https://xstalk.com/profile/FIFAWorldCup
UEFA Champions League	`0https://xstalk.com/profile/ChampionsLeague
UEFA Europa League	`0https://xstalk.com/profile/EuropaLeague

Dr. David Martin. World War 3 Global Catastrophe: Over 2 Billion Will Suffer Gruesome Vaccine Injuries	i0`00.lucky.harmony.reborn/videos/1022622816482685
Jet Lee	i0`00.100027335414014/videos/303842773870234/
